Event,Description
BZW,Blizzard Warning
CFA,Coastal Flood Watch
CFW,Coastal Flood Warning
DSW,Dust Storm Warning
FFA,Flash Flood Watch
FFW,Flash Flood Warning
FFS,Flash Flood Statement
FLA,Flood Watch
FLW,Flood Warning
FLS,Flood Statement
HWA,High Wind Watch
HWW,High Wind Warning
HUA,Hurricane Watch
HUW,Hurricane Warning
HLS,Hurricane Statement
SVA,Severe Thunderstorm Watch
SVR,Severe Thunderstorm Warning
SVS,Severe Weather Statement
SMW,Special Marine Warning
SPS,Special Weather Statement
TOA,Tornado Watch
TOR,Tornado Warning
TRA,Tropical Storm Watch
TRW,Tropical Storm Warning
TSA,Tsunami Watch
TSW,Tsunami Warning
WSA,Winter Storm Watch
WSW,Winter Storm Warning
EAN,Emergency Action Notification
EAT,Emergency Action Termination
NIC,National Information Center
NPT,National Periodic Test
RMT,Required Monthly Test
RWT,Required Weekly Test
ADR,Administrative Message
AVA,Avalanche Watch
AVW,Avalanche Warning
BHW,Biological Hazard Warning
BWW,Boil Water Warning
CAE,Child Abduction Emergency
CDW,Civil Danger Warning
CEM,Civil Emergency Message
CWW,Conataminated Water Warning
DBA,Dam Break Watch
DBW,Dam Break Warning
DEW,Contagious Disease Warning
EQW,Earthquake Warning
EVA,Evacuation Watch
EVI,Evacuation Immediate
FCW,Food Contamination Warning
FRW,Fire Warning
FSW,Flash Freeze Warning
FZW,Freeze Warning
HMW,Hazardous Materials Warning
IBW,Iceberg Warning
IFW,Industrial Fire Warning
LEW,Law Enforcement Warning
LAE,Local Area Emergency
LSW,Land Slide Warning
NAT,National Audible Test
NST,National Silent Test
TOE,911 Telephone Outage Emergency
NUW,Nuclear Power Plant Warning
POS,Power Outage Statement
RHW,Radiological Hazard Warning
SPW,Shelter In Place Warning
VOW,Volcano Warning
WFA,Wild Fire Watch
WFW,Wild Fire Warning
NMN,Network Message Notification
DMO,Practice/Demo Warning
??W,All Warning
??A,All Watch
??E,All Emergency
??S,All Statement
???,All Events
