ADR,Administrative Message
AVA,Avalanche Watch
AVW,Avalanche Warning
BHW,Biological Hazard Warning
BWW,Boil Water Warning
BZW,Blizzard Warning
CAE,Child Abduction Emergency
CDW,Civil Danger Warning
CEM,Civil Emergency Message
CFA,Coastal Flood Watch
CFW,Coastal Flood Warning
CWW,Conataminated Water Warning
DBA,Dam Break Watch
DBW,Dam Break Warning
DEW,Contagious Disease Warning
DMO,Practice/Demo Warning
DSW,Dust Storm Warning
EAN,Emergency Action Notification
EAT,Emergency Action Termination
EQW,Earthquake Warning
EVA,Evacuation Watch
EVI,Evacuation Immediate
FCW,Food Contamination Warning
FFA,Flash Flood Watch
FFS,Flash Flood Statement
FFW,Flash Flood Warning
FLA,Flood Watch
FLS,Flood Statement
FLW,Flood Warning
FRW,Fire Warning
FSW,Flash Freeze Warning
FZW,Freeze Warning
HLS,Hurricane Statement
HMW,Hazardous Materials Warning
HUA,Hurricane Watch
HUW,Hurricane Warning
HWA,High Wind Watch
HWW,High Wind Warning
IBW,Iceberg Warning
IFW,Industrial Fire Warning
LAE,Local Area Emergency
LEW,Law Enforcement Warning
LSW,Land Slide Warning
NAT,National Audible Test
NIC,National Information Center
NMN,Network Message Notification
NPT,National Periodic Test
NST,National Silent Test
NUW,Nuclear Power Plant Warning
POS,Power Outage Statement
RHW,Radiological Hazard Warning
RMT,Required Monthly Test
RWT,Required Weekly Test
SMW,Special Marine Warning
SPS,Special Weather Statement
SPW,Shelter In Place Warning
SVA,Severe Thunderstorm Watch
SVR,Severe Thunderstorm Warning
SVS,Severe Weather Statement
TOA,Tornado Watch
TOE,911 Telephone Outage Emergency
TOR,Tornado Warning
TRA,Tropical Storm Watch
TRW,Tropical Storm Warning
TSA,Tsunami Watch
TSW,Tsunami Warning
VOW,Volcano Warning
WFA,Wild Fire Watch
WFW,Wild Fire Warning
WSA,Winter Storm Watch
WSW,Winter Storm Warning
??A,All Watch
??E,All Emergency
??S,All Statement
??W,All Warning
???,All Events
